use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag,year,water_year,error_id,error_code,error_type,duplicate_set,error_description,comments
3923325,67449,136,79.8,5293.7076024,6633.7188,512,GA,19.3,A,19.3,A,1,2017-07-15,0930,44,M,12,S,02,E,01,5A,4417440806A,,,F,1006,0,4406,1447,1,A,44M12S02E01,X,2017,2017,234359,47,INCONSISTENT,,area treated is greater than the area planted,
3910201,16718,136,99,866.25,875,875,LB,4,A,2.5,A,1,2017-10-21,1045,44,M,11,S,02,E,05,3A,4417441251A,,,F,1002,0,4405,4,1,A,44M11S02E05,X,2017,2018,233879,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3908543,16718,136,99,2079,2100,2100,LB,11,A,6,A,1,2017-08-16,0600,44,M,11,S,02,E,22,2A,4417440306A,,,F,1016,0,4402,3,1,A,44M11S02E22,X,2017,2017,233865,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3908545,46821,136,94,2664.9,2835,2835,LB,23,A,13.5,A,1,2017-10-27,0730,44,M,12,S,01,E,01,1A,4417440992A,,,F,1016,0,4402,5,1,A,44M12S01E01,X,2017,2018,233866,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4159426,63849,136,32.8,4223,12875,12875,LB,61,A,36.5,A,1,2017-08-16,0600,47,M,46,N,02,W,36,D-03,47175200025,,,F,40008,0,4701,784,1,A,47M46N02W36,X,2017,2017,254820,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3985530,34485,573,97.5,5142.529665,5274.3894,519,GA,65,A,15.5,A,1,2017-11-06,1400,50,M,04,S,08,E,14,3014A1,50165006635,,,F,3001,0,5034,23,1,A,50M04S08E14,X,2017,2018,237497,80,POSSIBLE,15432,record is an erroneous duplicate of another record,
3959301,47813,136,99,2.97,3,3,LB,27,A,3,U,1,2017-11-22,1000,50,M,02,S,10,E,17,B1,50163901026,,,F,3009,0,5062,3140,1,B,50M02S10E17,X,2017,2018,236699,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3957870,47813,136,99,1.98,2,2,LB,42,A,2,U,1,2017-11-22,1000,50,M,02,S,10,E,19,A2,50163901026,,,F,3009,0,5062,2329,2,B,50M02S10E19,X,2017,2018,236667,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3959617,47813,136,99,33.66,34,34,LB,8.6,A,34,U,1,2017-11-02,0900,50,M,02,S,11,E,06,2906A1,50175008676,,,F,5002,0,5062,1102,1,B,50M02S11E06,X,2017,2018,236706,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3985534,34485,573,97.5,13277.4369,13617.884,1340,GA,90,A,40,A,1,2017-10-14,1400,50,M,07,S,08,E,04,AL130,50175000124,,,F,3001,0,5034,27,1,A,50M07S08E04,X,2017,2018,237505,80,POSSIBLE,15436,record is an erroneous duplicate of another record,
3501795,34485,573,97.5,6244.2596775,6404.3689,630.19,GA,100,A,18.7,A,1,2017-08-25,0800,52,M,26,N,02,W,17,6,52175200720,,,F,3009,0,5201,2492,1,B,52M26N02W17,X,2017,2017,217525,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
956683,44204,136,34.7,3768.7047482,10860.8206,973,GA,45,A,45,A,1,2017-05-22,1400,56,S,01,N,21,W,08,08,561756C1045,,,F,1016,0,5633,41,1,A,56S01N21W08,X,2017,2017,89904,47,INCONSISTENT,,area treated is greater than the area planted,
956683,44204,573,63.4,6885.7602604,10860.8206,973,GA,45,A,45,A,1,2017-05-22,1400,56,S,01,N,21,W,08,08,561756C1045,,,F,1016,0,5633,41,1,A,56S01N21W08,X,2017,2017,89904,47,INCONSISTENT,,area treated is greater than the area planted,
2869256,16718,136,99,16547.85,16715,16715,LB,55.7,A,55.7,A,1,2017-08-12,0900,56,S,01,N,21,W,05,80,561756X0047,,,F,1016,0,5602,122,1,A,56S01N21W05,X,2017,2017,176559,47,INCONSISTENT,,area treated is greater than the area planted,
2189086,34485,573,97.5,61408.1456625,62982.7135,6197.5,GA,185,A,185,A,1,2018-07-31,1400,04,M,19,N,01,E,07,153,04180403740,,,F,3009,0,410,309,1,A,04M19N01E07,X,2018,2018,169523,48,INCONSISTENT,,meridian-township-range-section does not exist in this county,
3208638,34485,573,97.5,25504.56909,26158.5324,2574,GA,262,A,78,A,1,2018-10-12,1700,04,M,19,N,01,E,07,153,04180403740,,,F,3009,0,432,123,1,A,04M19N01E07,X,2018,2019,226072,48,INCONSISTENT,,meridian-township-range-section does not exist in this county,
2189085,16718,136,99,20146.5,20350,20350,LB,185,A,101.75,A,1,2018-08-03,1400,04,M,19,N,01,E,07,153,04180403740,,,F,3009,0,410,308,1,A,04M19N01E07,X,2018,2018,169522,48,INCONSISTENT,,meridian-township-range-section does not exist in this county,
4316793,16696,136,42.7,3843,9000,9000,LB,68.9,A,25,A,1,2018-08-03,0600,18,M,29,N,13,E,12,Z-03/04,1818180150A,,,F,1016,0,1802,50,2,B,18M29N13E12,X,2018,2018,297304,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4316791,16696,136,42.7,2305.8,5400,5400,LB,68.9,A,14,A,1,2018-07-31,0600,18,M,29,N,13,E,12,Z-03/04,1818180150A,,,F,1016,0,1802,48,3,B,18M29N13E12,X,2018,2018,297302,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4316790,16696,136,42.7,5226.48,12240,12240,LB,33.2,A,33.2,A,1,2018-07-18,0600,18,M,29,N,13,E,12,Z 2,1818180150A,,,F,1016,0,1802,47,2,B,18M29N13E12,X,2018,2018,297301,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4316789,16696,136,42.7,3535.56,8280,8280,LB,24.4,A,22,A,1,2018-07-23,0600,18,M,29,N,13,E,24,D-1,1818180150A,,,F,1016,0,1802,46,1,B,18M29N13E24,X,2018,2018,297300,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4316792,16696,136,42.7,4919.04,11520,11520,LB,68.9,A,29.8,A,1,2018-08-03,0600,18,M,29,N,13,E,12,Z-03/04,1818180150A,,,F,1016,0,1802,49,1,B,18M29N13E12,X,2018,2018,297303,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
2576304,67449,136,79.8,14092.42863,17659.685,1363,GA,221,A,41.3,A,1,2018-08-22,0800,27,M,12,S,02,E,32,01,27182700473,,,F,1016,0,2701,2887,1,A,27M12S02E32,X,2018,2018,305876,80,POSSIBLE,18174,record is an erroneous duplicate of another record,
2574126,67450,573,18.5,835.6727685,4517.1501,358.6,GA,22.1,A,16.3,A,1,2018-08-30,0930,27,M,14,S,03,E,02,090004,27182700908,,,F,1016,0,2701,8458,1,A,27M14S03E02,X,2018,2018,306641,80,POSSIBLE,18556,record is an erroneous duplicate of another record,
2573778,67449,573,19.5,2427.979944,12451.1792,961,GA,221,A,29.1,A,1,2018-08-28,1000,27,M,12,S,02,E,32,01,27182700473,,,F,1016,0,2701,2377,1,A,27M12S02E32,X,2018,2018,313181,80,POSSIBLE,21823,record is an erroneous duplicate of another record,
2576304,67449,573,19.5,3443.638575,17659.685,1363,GA,221,A,41.3,A,1,2018-08-22,0800,27,M,12,S,02,E,32,01,27182700473,,,F,1016,0,2701,2887,1,A,27M12S02E32,X,2018,2018,305876,80,POSSIBLE,18174,record is an erroneous duplicate of another record,
2574126,67450,136,75.8,3423.9997758,4517.1501,358.6,GA,22.1,A,16.3,A,1,2018-08-30,0930,27,M,14,S,03,E,02,090004,27182700908,,,F,1016,0,2701,8458,1,A,27M14S03E02,X,2018,2018,306641,80,POSSIBLE,18556,record is an erroneous duplicate of another record,
2573778,67449,136,79.8,9936.0410016,12451.1792,961,GA,221,A,29.1,A,1,2018-08-28,1000,27,M,12,S,02,E,32,01,27182700473,,,F,1016,0,2701,2377,1,A,27M12S02E32,X,2018,2018,313181,80,POSSIBLE,21823,record is an erroneous duplicate of another record,
2578106,67449,136,79.8,5138.6185368,6439.3716,497,GA,118,A,15.9,A,1,2018-08-15,1000,27,M,12,S,02,E,17,06,27182700386,,,F,1016,0,2701,2980,1,A,27M12S02E17,X,2018,2018,303282,80,POSSIBLE,16877,record is an erroneous duplicate of another record,
2578106,67449,573,19.5,1255.677462,6439.3716,497,GA,118,A,15.9,A,1,2018-08-15,1000,27,M,12,S,02,E,17,06,27182700386,,,F,1016,0,2701,2980,1,A,27M12S02E17,X,2018,2018,303282,80,POSSIBLE,16877,record is an erroneous duplicate of another record,
4299577,46821,136,94,2566.2,2730,2730,LB,28,A,28,A,1,2018-05-14,1230,39,M,02,S,08,E,18,26-3,39183901377,,,F,40008,0,3911,3028,1,A,39M02S08E18,X,2018,2018,324813,80,POSSIBLE,27379,record is an erroneous duplicate of another record,
4299577,46821,136,94,2566.2,2730,2730,LB,28,A,28,A,1,2018-05-14,1230,39,M,02,S,08,E,18,26-3,39183901377,,,F,40008,0,3911,3028,1,A,39M02S08E18,X,2018,2018,296317,47,INCONSISTENT,,area treated is greater than the area planted,
2224297,10570,136,99,9.374112,9.4688,151.5,OZ,,,,,,2018-04-01,,40,,,,,,,,,4092,,,40,0,4003,838,2,C,,X,2018,2018,174280,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.",Reported pounds AI per application = 9.37 for Chloropicrin; median pounds AI per application in 2015 = 0.1945921; lbs/app > mean + 3*SD
3535258,58495,573,37.1,7229.7221136,19487.1216,1650.48,GA,90,A,71.76,A,1,2018-10-08,0900,42,S,10,N,33,W,27,310002,42184202722,,,F,1016,0,4202,57,1,A,42S10N33W27,X,2018,2019,239441,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3535258,58495,136,56.6,11029.7108256,19487.1216,1650.48,GA,90,A,71.76,A,1,2018-10-08,0900,42,S,10,N,33,W,27,310002,42184202722,,,F,1016,0,4202,57,1,A,42S10N33W27,X,2018,2019,239441,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4202292,58495,573,37.1,481.8412956,1298.7636,110,GA,5.5,A,5.5,A,1,2018-03-12,1145,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1951,1,A,43M08S02E35,X,2018,2018,291944,47,INCONSISTENT,,area treated is greater than the area planted,
4204203,58495,136,56.6,1750.8750408,3093.4188,262,GA,13,A,13,A,1,2018-03-31,1155,43,M,08,S,02,E,35,50,4318430783R,,,F,11003,0,4301,2461,1,A,43M08S02E35,X,2018,2018,291966,47,INCONSISTENT,,area treated is greater than the area planted,
4202298,58495,573,37.1,657.0563223,1771.0413,150,GA,7.7,A,7.7,A,1,2018-03-13,1720,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1957,1,A,43M08S02E35,X,2018,2018,291946,47,INCONSISTENT,,area treated is greater than the area planted,
4199948,58495,573,37.1,635.1544486,1712.0066,145,GA,6.8,A,6.8,A,1,2018-03-20,1200,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2059,1,A,43M08S02E35,X,2018,2018,291874,47,INCONSISTENT,,area treated is greater than the area planted,
4199949,58495,573,37.1,602.3016195,1623.4545,137.5,GA,6.9,A,6.9,A,1,2018-03-19,1310,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2060,1,A,43M08S02E35,X,2018,2018,291875,47,INCONSISTENT,,area treated is greater than the area planted,
4202299,58495,136,56.6,1169.4776334,2066.2149,175,GA,8.7,A,8.7,A,1,2018-03-13,1250,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1958,1,A,43M08S02E35,X,2018,2018,291947,47,INCONSISTENT,,area treated is greater than the area planted,
4199950,58495,573,37.1,602.3016195,1623.4545,137.5,GA,6.9,A,6.9,A,1,2018-03-19,1740,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2061,1,A,43M08S02E35,X,2018,2018,291876,47,INCONSISTENT,,area treated is greater than the area planted,
4202299,58495,573,37.1,766.5657279,2066.2149,175,GA,8.7,A,8.7,A,1,2018-03-13,1250,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1958,1,A,43M08S02E35,X,2018,2018,291947,47,INCONSISTENT,,area treated is greater than the area planted,
4199950,58495,136,56.6,918.875247,1623.4545,137.5,GA,6.9,A,6.9,A,1,2018-03-19,1740,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2061,1,A,43M08S02E35,X,2018,2018,291876,47,INCONSISTENT,,area treated is greater than the area planted,
4204203,58495,573,37.1,1147.6583748,3093.4188,262,GA,13,A,13,A,1,2018-03-31,1155,43,M,08,S,02,E,35,50,4318430783R,,,F,11003,0,4301,2461,1,A,43M08S02E35,X,2018,2018,291966,47,INCONSISTENT,,area treated is greater than the area planted,
4199949,58495,136,56.6,918.875247,1623.4545,137.5,GA,6.9,A,6.9,A,1,2018-03-19,1310,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2060,1,A,43M08S02E35,X,2018,2018,291875,47,INCONSISTENT,,area treated is greater than the area planted,
4202293,58495,136,56.6,801.927478,1416.833,120,GA,6,A,6,A,1,2018-03-12,1635,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1952,1,A,43M08S02E35,X,2018,2018,291945,47,INCONSISTENT,,area treated is greater than the area planted,
4202298,58495,136,56.6,1002.4093758,1771.0413,150,GA,7.7,A,7.7,A,1,2018-03-13,1720,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1957,1,A,43M08S02E35,X,2018,2018,291946,47,INCONSISTENT,,area treated is greater than the area planted,
4199948,58495,136,56.6,968.9957356,1712.0066,145,GA,6.8,A,6.8,A,1,2018-03-20,1200,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,2059,1,A,43M08S02E35,X,2018,2018,291874,47,INCONSISTENT,,area treated is greater than the area planted,
4202292,58495,136,56.6,735.1001976,1298.7636,110,GA,5.5,A,5.5,A,1,2018-03-12,1145,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1951,1,A,43M08S02E35,X,2018,2018,291944,47,INCONSISTENT,,area treated is greater than the area planted,
4202293,58495,573,37.1,525.645043,1416.833,120,GA,6,A,6,A,1,2018-03-12,1635,43,M,08,S,02,E,35,18,4318430783R,,,F,11003,0,4301,1952,1,A,43M08S02E35,X,2018,2018,291945,47,INCONSISTENT,,area treated is greater than the area planted,
4337219,67449,573,19.5,5353.683153,27454.7854,2119,GA,70.5,A,70.5,A,1,2018-08-22,1100,44,M,12,S,03,E,06,19A,4418440169A,,,F,1016,0,4401,108,1,A,44M12S03E06,X,2018,2018,300080,47,INCONSISTENT,,area treated is greater than the area planted,
4337220,67449,136,79.8,7878.5257614,9872.8393,762,GA,22.9,A,22.9,A,1,2018-07-30,0800,44,M,11,S,01,E,34,1A,44182700544,,,F,1016,0,4401,109,1,A,44M11S01E34,X,2018,2018,300081,47,INCONSISTENT,,area treated is greater than the area planted,
4337277,67449,136,79.8,8074.9718952,10119.0124,781,GA,27.7,A,27.7,A,1,2018-09-15,1000,44,M,11,S,02,E,33,5A,44182700032,,,F,1016,0,4401,166,1,A,44M11S02E33,X,2018,2018,300138,47,INCONSISTENT,,area treated is greater than the area planted,
4337220,67449,573,19.5,1925.2036635,9872.8393,762,GA,22.9,A,22.9,A,1,2018-07-30,0800,44,M,11,S,01,E,34,1A,44182700544,,,F,1016,0,4401,109,1,A,44M11S01E34,X,2018,2018,300081,47,INCONSISTENT,,area treated is greater than the area planted,
4337219,67449,136,79.8,21908.9187492,27454.7854,2119,GA,70.5,A,70.5,A,1,2018-08-22,1100,44,M,12,S,03,E,06,19A,4418440169A,,,F,1016,0,4401,108,1,A,44M12S03E06,X,2018,2018,300080,47,INCONSISTENT,,area treated is greater than the area planted,
4337323,34485,573,97.5,768.90235499999994,788.6178,77.6,GA,9.7,A,9.7,A,1,2018-11-17,1130,44,M,11,S,02,W,18,070005,441827P016A,,,F,13006,0,4401,212,1,A,44M11S02W18,X,2018,2019,300186,47,INCONSISTENT,,area treated is greater than the area planted,
3920554,67449,573,19.5,2463.35115,12632.57,975,GA,36,A,34.4,A,1,2018-09-21,0500,44,M,12,S,02,E,17,4A,441827P092A,,,F,1016,0,4401,9,1,A,44M12S02E17,X,2018,2018,255121,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4337277,67449,573,19.5,1973.207418,10119.0124,781,GA,27.7,A,27.7,A,1,2018-09-15,1000,44,M,11,S,02,E,33,5A,44182700032,,,F,1016,0,4401,166,1,A,44M11S02E33,X,2018,2018,300138,47,INCONSISTENT,,area treated is greater than the area planted,
3920554,67449,136,79.8,10080.79086,12632.57,975,GA,36,A,34.4,A,1,2018-09-21,0500,44,M,12,S,02,E,17,4A,441827P092A,,,F,1016,0,4401,9,1,A,44M12S02E17,X,2018,2018,255121,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
1361270,34485,573,97.5,2675.30445,2743.902,270,GA,30,A,30,A,1,2018-04-05,0730,44,M,11,S,02,W,20,010024,4418440381A,,,F,13006,0,4401,203,1,A,44M11S02W20,X,2018,2018,102190,47,INCONSISTENT,,area treated is greater than the area planted,
4183719,16702,136,54.7,7433.73,13590,13590,LB,83,A,30,A,1,2018-08-27,0800,47,M,48,N,04,E,19,4183,4718180150A,,,F,40008,0,4702,1034,1,B,47M48N04E19,X,2018,2018,289924,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183720,16702,136,54.7,7433.73,13590,13590,LB,83,A,30,A,1,2018-08-28,0800,47,M,48,N,04,E,19,4183,4718180150A,,,F,40008,0,4702,1035,2,B,47M48N04E19,X,2018,2018,289925,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
1066746,63849,136,32.8,863.624,2633,2633,LB,43.1,A,7.3,A,1,2018-04-09,1400,47,M,43,N,05,W,25,LS-01,47184500008,,,F,40008,0,4701,2566,1,A,47M43N05W25,X,2018,2018,64552,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4185629,10541,136,33,542.85,1645,1645,LB,15,A,4.7,A,1,2018-08-30,0800,47,M,48,N,01,E,30,B 09,4718253455A,,,F,40008,0,4701,2769,1,A,47M48N01E30,X,2018,2018,289999,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183718,16709,136,43,774,1800,1800,LB,114,A,5,A,1,2018-08-06,0800,47,M,45,N,02,W,03,AMIGO NE,4718180150A,,,F,40008,0,4702,1033,2,B,47M45N02W03,X,2018,2018,289923,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183715,16709,136,43,6192,14400,14400,LB,114,A,40,A,1,2018-07-30,0800,47,M,45,N,02,W,03,AMIGO NE,4718180150A,,,F,40008,0,4702,1030,1,B,47M45N02W03,X,2018,2018,289920,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183716,16709,136,43,6192,14400,14400,LB,114,A,40,A,1,2018-07-31,0800,47,M,45,N,02,W,03,AMIGO NE,4718180150A,,,F,40008,0,4702,1031,2,B,47M45N02W03,X,2018,2018,289921,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183721,16702,136,54.7,4824.54,8820,8820,LB,83,A,20,A,1,2018-08-31,0800,47,M,48,N,04,E,19,4183,4718180150A,,,F,40008,0,4702,1036,3,B,47M48N04E19,X,2018,2018,289926,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4183717,16709,136,43,3715.2,8640,8640,LB,114,A,24,A,1,2018-08-02,0800,47,M,45,N,02,W,03,AMIGO NE,4718180150A,,,F,40008,0,4702,1032,1,B,47M45N02W03,X,2018,2018,289922,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4114648,47813,136,99,347.49,351,351,LB,,,,,,2018-07-01,,58,,,,,,,,58185800088,,,,91,0,5803,368,1,C,,X,2018,2018,265431,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.",Reported pounds AI per application = 347 for Chloropicrin; median pounds AI per application in 2015 = 0.1945921; lbs/app > mean + 5*SD
3170668,18726,136,99,598.95,605,605,LB,,,,,1,2019-08-01,,05,,,,,,,,,PR3605,,,10,0,502,199,2,C,,X,2019,2019,190763,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.",Reported pounds AI per application = 599 for Chloropicrin; median pounds AI per application in 2015 = 0.1945921; lbs/app > mean + 7*SD
